profile,beta_alpha,beta_beta,seed,framework,throughput,recovery_time,steady_E_GMI,success_rate
high,5,1,15,ISF,79.416,,0.6462335444297774,0.6175471698113207
high,5,1,16,ISF,81.598,,0.5717754300144037,0.5554782608695653
high,5,1,17,ISF,87.024,1.0,0.7181041393093395,0.7070370370370369
high,5,1,18,ISF,88.548,43.0,0.6877152754784502,0.6730973451327433
high,5,1,19,ISF,75.65,,0.49742660395034455,0.4554385964912281
high,5,1,20,ISF,82.502,,0.6398168338024752,0.6270270270270271
high,5,1,21,ISF,84.51,,0.646436117446268,0.6326315789473684
high,5,1,22,ISF,85.726,,0.6458243056005436,0.6215789473684211
high,5,1,23,ISF,81.302,,0.6591061176249525,0.6390654205607477
high,5,1,24,ISF,83.526,,0.5768672935318677,0.5514529914529915
high,5,1,25,ISF,84.84,,0.6515366801538532,0.6346428571428572
high,5,1,26,ISF,77.252,,0.5827913054063322,0.5794495412844036
high,5,1,27,ISF,86.496,,0.6374776042403812,0.6268376068376069
high,5,1,28,ISF,80.89,,0.602235026962936,0.5778761061946902
high,5,1,29,ISF,89.18,,0.6048886590024815,0.6059504132231405
