seed,population_size,dimension,submetric,mean
1025,50,D2,policy_violation_rate,0.5415840683108283
1025,50,D3,catalog_coverage,0.45240340468481205
1025,50,D3,catalog_freshness,0.4409545643051122
1025,50,D3,lineage_rate,0.4445115710071883
1025,50,D4,consent_propagation_rate,0.4721204361600091
1025,50,D4,rule_pass_rate,0.4378106880840714
1025,50,D5,api_adherence_rate,0.4279171733201313
1025,50,D5,format_translation_rate,0.44597733884706875
1025,50,D5,schema_reconciliation_rate,0.43745464247878374
1025,50,SVC,audit_trail_completeness,0.4441693794344804
1025,50,SVC,cross_border_flagging_rate,0.4423090600531839
1025,50,SVC,localization_compliance_rate,0.44802403679376523
1026,50,D1,completeness_ratio,0.4461871052381073
1026,50,D1,duplicate_rate,0.577867640780875
1026,50,D1,schema_pass_rate,0.4449260029849379
1026,50,D2,encryption_coverage,0.44430705405752347
1026,50,D2,normalized_breach_latency,0.5278290819897444
1026,50,D2,policy_violation_rate,0.54718882619985
1026,50,D3,catalog_coverage,0.45275814891346433
1026,50,D3,catalog_freshness,0.44469966266030725
1026,50,D3,lineage_rate,0.45023151575147075
1026,50,D4,consent_propagation_rate,0.45663844806020615
1026,50,D4,rule_pass_rate,0.43009904046765307
1026,50,D5,api_adherence_rate,0.4613585165202189
1026,50,D5,format_translation_rate,0.4676767207359558
1026,50,D5,schema_reconciliation_rate,0.45094570702551556
1026,50,SVC,audit_trail_completeness,0.4236652221070394
1026,50,SVC,cross_border_flagging_rate,0.47180581890695583
1026,50,SVC,localization_compliance_rate,0.4466087054074066
1027,50,D1,completeness_ratio,0.45262312538120836
1027,50,D1,duplicate_rate,0.5720116197906246
1027,50,D1,schema_pass_rate,0.47329189327349147
1027,50,D2,encryption_coverage,0.441254535738368
1027,50,D2,normalized_breach_latency,0.5266822062241698
1027,50,D2,policy_violation_rate,0.5517626324233947
1027,50,D3,catalog_coverage,0.43184178502110654
1027,50,D3,catalog_freshness,0.4638935172248685
1027,50,D3,lineage_rate,0.43128074377224906
1027,50,D4,consent_propagation_rate,0.4379953999481914
1027,50,D4,rule_pass_rate,0.4598633362659831
1027,50,D5,api_adherence_rate,0.4493698230964713
1027,50,D5,format_translation_rate,0.47165156325879537
1027,50,D5,schema_reconciliation_rate,0.4450834507099883
1027,50,SVC,audit_trail_completeness,0.44064614691488463
1027,50,SVC,cross_border_flagging_rate,0.47648245732951816
1027,50,SVC,localization_compliance_rate,0.43475050014383826
1028,50,D1,completeness_ratio,0.4428825823378776
1028,50,D1,duplicate_rate,0.5463402001135106
1028,50,D1,schema_pass_rate,0.4440226855605204
1028,50,D2,encryption_coverage,0.45126843529944016
1028,50,D2,normalized_breach_latency,0.5440298753515423
1028,50,D2,policy_violation_rate,0.5515919761811
1028,50,D3,catalog_coverage,0.44426675937477966
1028,50,D3,catalog_freshness,0.4623095579651528
1028,50,D3,lineage_rate,0.4314555451164965
1028,50,D4,consent_propagation_rate,0.4718154983572247
1028,50,D4,rule_pass_rate,0.47378588131036387
1028,50,D5,api_adherence_rate,0.4541913393809493
1028,50,D5,format_translation_rate,0.4399306973972093
1028,50,D5,schema_reconciliation_rate,0.4697728434751271
1028,50,SVC,audit_trail_completeness,0.454109607421544
1028,50,SVC,cross_border_flagging_rate,0.45022626543746525
1028,50,SVC,localization_compliance_rate,0.45299177910028704
1029,50,D1,completeness_ratio,0.44235715528315434
1029,50,D1,duplicate_rate,0.5399724065844002
1029,50,D1,schema_pass_rate,0.45722491843226865
1029,50,D2,encryption_coverage,0.45626072687316677
1029,50,D2,normalized_breach_latency,0.5528472557187167
1029,50,D2,policy_violation_rate,0.5529552095774432
1029,50,D3,catalog_coverage,0.4439977881058544
1029,50,D3,catalog_freshness,0.46153376319266953
1029,50,D3,lineage_rate,0.46972828232248737
1029,50,D4,consent_propagation_rate,0.45594788214616666
1029,50,D4,rule_pass_rate,0.45548387548052605
1029,50,D5,api_adherence_rate,0.43881397410411266
1029,50,D5,format_translation_rate,0.4321674550285563
1029,50,D5,schema_reconciliation_rate,0.457825651992526
1029,50,SVC,audit_trail_completeness,0.4492829142837069
1029,50,SVC,cross_border_flagging_rate,0.46281997552564674
1029,50,SVC,localization_compliance_rate,0.45553810623560326
