threshold,seed,framework,admitted_fraction,steady_E_GMI,recovery_time,success_rate
0.4,7,DBL,0.98,0.008200676276711043,,0.04648148148148148
0.4,7,DMM,0.98,0.004473343990809561,,0.0475925925925926
0.4,7,ISF,1.0,0.07289761546800495,,0.07233644859813083
0.4,8,DBL,1.0,0.013167433955397994,,0.04732142857142857
0.4,8,DMM,1.0,0.012980598146593246,,0.04999999999999999
0.4,8,ISF,1.0,0.07058535510928808,,0.06427350427350427
0.4,9,DBL,1.0,0.016536399229048118,,0.04990654205607476
0.4,9,DMM,1.0,0.014202075118142268,,0.05065420560747663
0.4,9,ISF,1.0,0.0714386490668615,,0.0653211009174312
0.4,10,DBL,0.98,0.009661378018049222,,0.05262135922330097
0.4,10,DMM,1.0,0.006440083939197835,,0.05169811320754718
0.4,10,ISF,0.98,0.07376849975944616,,0.07288461538461538
0.4,11,DBL,1.0,0.015397668915878435,,0.052571428571428575
0.4,11,DMM,1.0,0.013350645782650813,,0.045714285714285714
0.4,11,ISF,0.96,0.0711668432313507,,0.06875
0.4,12,DBL,0.98,0.01015730628550211,,0.043423423423423424
0.4,12,DMM,0.98,0.009018706358312962,,0.05117117117117116
0.4,12,ISF,0.98,0.07090571822546592,,0.06888888888888889
0.4,13,DBL,0.98,0.014389295210173672,,0.05363636363636364
0.4,13,DMM,0.98,0.011257056656983556,,0.05709090909090909
0.4,13,ISF,0.98,0.08171733935006822,,0.07963636363636364
0.4,14,DBL,1.0,0.01024223533015085,,0.0512962962962963
0.4,14,DMM,1.0,0.01172188488576664,,0.05111111111111111
0.4,14,ISF,1.0,0.08058713318546264,,0.07884615384615384
0.4,15,DBL,0.98,0.012732368610053411,,0.05288461538461539
0.4,15,DMM,0.98,0.008692499466720668,,0.05500000000000001
0.4,15,ISF,1.0,0.08094760192427977,,0.07855855855855855
0.4,16,DBL,0.98,0.0033598060184149197,,0.05135135135135134
0.4,16,DMM,0.98,0.004490162119533898,,0.04756756756756757
0.4,16,ISF,1.0,0.08031446609230551,,0.07704347826086956
0.4,17,DBL,1.0,0.011780845670357197,,0.052363636363636355
0.4,17,DMM,1.0,0.011255118864686988,,0.055999999999999994
0.4,17,ISF,0.98,0.09514616051199151,,0.09203883495145632
0.4,18,DBL,1.0,0.01528827342174117,,0.05473684210526316
0.4,18,DMM,1.0,0.008602729981820857,,0.051578947368421044
0.4,18,ISF,1.0,0.06680049428791747,,0.06737864077669901
0.4,19,DBL,0.96,0.028096347645046572,,0.05224489795918367
0.4,19,DMM,0.96,0.02087725170468066,,0.044285714285714296
0.4,19,ISF,1.0,0.07553930285214502,,0.06875
0.4,20,DBL,1.0,0.006690941525922691,,0.049245283018867915
0.4,20,DMM,1.0,0.007498961128690621,,0.049056603773584895
0.4,20,ISF,1.0,0.07432067422520669,,0.07259259259259258
0.4,21,DBL,0.98,0.012153384049680199,,0.051730769230769226
0.4,21,DMM,0.98,0.009124775428910093,,0.05865384615384615
0.4,21,ISF,0.98,0.06565561265628538,,0.06616822429906541
0.4,22,DBL,0.98,0.0053553131072309615,,0.048256880733944955
