code,scenario,seed,dimension,spearman_rank_correlation,accepted
P5,D4_rule_heavy,9027,D4,0.028055640552030008,False
P5,D4_rule_heavy,9028,D4,0.21516280001749297,False
P5,D4_rule_heavy,9029,D4,0.21390487478995412,False
P5,D4_consent_heavy,9000,D4,0.4656055216268138,False
P5,D4_consent_heavy,9001,D4,0.7883452983342807,False
P5,D4_consent_heavy,9002,D4,0.10852090528615012,False
P5,D4_consent_heavy,9003,D4,0.24131029653124342,False
P5,D4_consent_heavy,9004,D4,0.1165585606218735,False
P5,D4_consent_heavy,9005,D4,0.16238475148392353,False
P5,D4_consent_heavy,9006,D4,0.5053179170123265,False
P5,D4_consent_heavy,9007,D4,0.43261928653819565,False
P5,D4_consent_heavy,9008,D4,0.25076419641641334,False
P5,D4_consent_heavy,9009,D4,0.33823444180796,False
P5,D4_consent_heavy,9010,D4,0.021445152632810785,False
P5,D4_consent_heavy,9011,D4,0.12737069933615944,False
P5,D4_consent_heavy,9012,D4,0.1498980768040219,False
P5,D4_consent_heavy,9013,D4,0.015509355204814532,False
P5,D4_consent_heavy,9014,D4,0.0428175804235646,False
P5,D4_consent_heavy,9015,D4,0.41651565477333463,False
P5,D4_consent_heavy,9016,D4,0.4503862627317479,False
P5,D4_consent_heavy,9017,D4,0.054928128765039656,False
P5,D4_consent_heavy,9018,D4,0.16105417498614288,False
P5,D4_consent_heavy,9019,D4,0.0884820719412859,False
P5,D4_consent_heavy,9020,D4,0.17173334558392236,False
P5,D4_consent_heavy,9021,D4,0.1509677891638998,False
P5,D4_consent_heavy,9022,D4,0.09988286062390138,False
P5,D4_consent_heavy,9023,D4,0.9172167626729619,True
P5,D4_consent_heavy,9024,D4,0.13278915753298623,False
P5,D4_consent_heavy,9025,D4,0.12032066054089675,False
P5,D4_consent_heavy,9026,D4,0.9154264714613946,True
P5,D4_consent_heavy,9027,D4,0.2766979911644619,False
P5,D4_consent_heavy,9028,D4,0.2745584656261404,False
P5,D4_consent_heavy,9029,D4,0.260814824539188,False
P6,D5_equal,9000,D5,0.40456182472989194,False
P6,D5_equal,9001,D5,0.5444897959183673,False
P6,D5_equal,9002,D5,0.5537094837935175,False
