code,scenario,framework,E_GMI_mean,E_GMI_ci_lower,E_GMI_ci_upper,threshold_mean,threshold_ci_lower,threshold_ci_upper,success_rate_mean,ranking_match_fraction_within_scenario,seed_count
P8,ISF_standard_dimensions_heavy,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P8,ISF_standard_dimensions_heavy,ISF,0.17291762449261372,0.17199933274670948,0.17383591623851796,0.0,0.0,0.0,0.13850666666666667,1.0,30
P8,baseline,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P8,baseline,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P8,baseline,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
P9,balanced_types_stress_test,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P9,balanced_types_stress_test,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P9,balanced_types_stress_test,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
P9,baseline,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P9,baseline,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P9,baseline,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
P9,iran_calibrated_baseline,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P9,iran_calibrated_baseline,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P9,iran_calibrated_baseline,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
P9,original_draft_stress_test,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
