code,scenario,seed,framework,shock_type,impact,affected_organizations,affected_fraction,mean_dimension_loss,maximum_dimension_loss,pre_shock_E_GMI,post_shock_E_GMI,immediate_E_GMI_loss,pre_shock_ranking,post_shock_ranking,ranking_preserved
P12,network_m_2,9010,DBL,security,0.3,50,1.0,0.006530808171626132,0.02400000000000002,0.15105041730514393,0.1497442556708187,0.0013061616343252314,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9010,DMM,security,0.3,50,1.0,0.006530808171626132,0.02400000000000002,0.13061118235140465,0.12930502071707944,0.0013061616343252036,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9010,ISF,security,0.3,50,1.0,0.006530808171626132,0.02400000000000002,0.16057742565264035,0.15927126401831512,0.0013061616343252314,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9011,DBL,security,0.3,50,1.0,0.006140000000000003,0.07499999999999997,0.1473836211740016,0.1461556211740016,0.0012280000000000069,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9011,DMM,security,0.3,50,1.0,0.006140000000000003,0.07499999999999997,0.12742705306436475,0.12619905306436474,0.0012280000000000069,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9011,ISF,security,0.3,50,1.0,0.006140000000000003,0.07499999999999997,0.15773203560503227,0.1565040356050323,0.001227999999999979,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9012,DBL,security,0.3,50,1.0,0.008826152563775464,0.145307628188773,0.15415589605061852,0.15239066553786343,0.001765230512755095,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9012,DMM,security,0.3,50,1.0,0.008826152563775464,0.145307628188773,0.13339477068178432,0.13162954016902922,0.001765230512755095,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9012,ISF,security,0.3,50,1.0,0.008826152563775464,0.145307628188773,0.16298963535730185,0.16122440484454675,0.001765230512755095,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9013,DBL,security,0.3,50,1.0,0.004918650229676198,0.03000000000000002,0.15331273579347818,0.15232900574754293,0.0009837300459352438,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9013,DMM,security,0.3,50,1.0,0.004918650229676198,0.03000000000000002,0.1322100000237986,0.13122626997786335,0.0009837300459352438,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9013,ISF,security,0.3,50,1.0,0.004918650229676198,0.03000000000000002,0.1619303195789013,0.16094658953296606,0.0009837300459352438,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9014,DBL,security,0.3,50,1.0,0.008186672939046563,0.12133364695232796,0.1542519375158902,0.15261460292808088,0.0016373345878093193,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9014,DMM,security,0.3,50,1.0,0.008186672939046563,0.12133364695232796,0.13344703314696363,0.13180969855915434,0.0016373345878092915,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9014,ISF,security,0.3,50,1.0,0.008186672939046563,0.12133364695232796,0.16305623936524627,0.16141890477743692,0.001637334587809347,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9015,DBL,security,0.3,50,1.0,0.006249434444768317,0.04200000000000004,0.16303936929454732,0.16178948240559365,0.0012498868889536663,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9015,DMM,security,0.3,50,1.0,0.006249434444768317,0.04200000000000004,0.1426361963244008,0.14138630943544717,0.0012498868889536385,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9015,ISF,security,0.3,50,1.0,0.006249434444768317,0.04200000000000004,0.1708435123268176,0.16959362543786394,0.0012498868889536663,ISF>DBL>DMM,ISF>DBL>DMM,True
